Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
IOB,INDIAN OVERSEAS BANK,"8,23,01,00,00,000",823.01 B,43.53,-4.54%,3.9 M,1.09,26.42,1.65,24.01%,0.00%,—
JSWENERGY,JSW ENERGY LTD,"8,10,79,00,00,000",810.79 B,464.1,1.16%,6.93 M,1.06,42.3,10.97,9.74%,0.43%,Buy
ICICIPRULI,ICICI PRU LIFE INS CO LTD,"7,97,50,00,00,000",797.5 B,551.6,-1.46%,2 M,2.08,82.08,6.72,6.24%,0.11%,
SBICARD,SBI CARDS & PAY SER LTD,"7,97,09,00,00,000",797.09 B,838.8,-2.10%,2.77 M,1,39.03,21.49,-12.82%,0.30%,
SOLARINDS,SOLAR INDUSTRIES (I) LTD,"7,86,59,00,00,000",786.59 B,"8,710.60",-0.15%,157.76 K,2.09,70.24,124.02,39.08%,0.10%,Buy
ADANIENSOL,ADANI ENERGY SOLUTION LTD,"7,82,10,00,00,000",782.1 B,650.9,-1.63%,1.77 M,1.05,105.85,6.15,-41.14%,0.00%,Strong buy
BOSCHLTD,BOSCH LTD,"7,81,99,00,00,000",781.99 B,"26,544.00",-1.04%,30.51 K,1.5,38.65,686.83,-12.89%,1.41%,Neutral
MARICO,MARICO LTD,"7,77,16,00,00,000",777.16 B,600.6,-3.64%,2.68 M,2.01,48.51,12.38,9.24%,0.58%,Buy
HDFCAMC,HDFC AMC LTD,"7,75,87,00,00,000",775.87 B,"3,628.30",-1.64%,635.91 K,1.55,32.92,110.22,32.41%,1.93%,
INDUSINDBK,INDUSIND BANK LTD,"7,70,44,00,00,000",770.44 B,990.1,-5.41%,55.67 M,16.61,10.64,93.07,-16.54%,1.67%,
SWIGGY,SWIGGY LTD,"7,57,98,00,00,000",757.98 B,334.65,-2.85%,11.99 M,0.71,—,—,—,0.00%,Buy
CUMMINSIND,CUMMINS INDIA LTD,"7,54,23,00,00,000",754.23 B,"2,717.95",-3.32%,826.86 K,1.61,37.5,72.49,31.27%,1.40%,Buy
IDBI,IDBI BANK LTD,"7,45,79,00,00,000",745.79 B,69.24,-2.51%,3.92 M,1.11,10.33,6.7,34.98%,2.16%,—
HEROMOTOCO,HERO MOTOCORP LTD,"7,37,42,00,00,000",737.42 B,"3,681.10",-2.09%,995.13 K,1.79,17.76,207.3,14.79%,3.80%,Buy
NTPCGREEN,NTPC GREEN ENERGY LTD,"7,35,20,00,00,000",735.2 B,87.27,-6.19%,17.32 M,1.4,—,—,—,0.00%,Strong sell
NHPC,NHPC LTD,"7,34,39,00,00,000",734.39 B,72.9,-1.90%,28.44 M,1.33,26.94,2.71,-26.87%,2.60%,Buy
CANBK,CANARA BANK,"7,33,91,00,00,000",733.91 B,80.9,-3.07%,36.42 M,1.62,4.47,18.1,11.99%,3.98%,
GMRAIRPORT,GMR AIRPORTS LTD,"7,33,32,00,00,000",733.32 B,69.47,0.26%,22.3 M,1.73,—,-0.51,65.34%,0.00%,Buy
POLYCAB,POLYCAB INDIA LTD,"7,08,60,00,00,000",708.6 B,"4,713.40",0.72%,6.04 M,7.48,38.64,121.98,10.26%,0.64%,Buy
RVNL,RAIL VIKAS NIGAM LTD,"6,94,21,00,00,000",694.21 B,332.4,-5.04%,12.21 M,0.73,53.28,6.24,-10.60%,0.63%,Strong sell
INDIANB,INDIAN BANK,"6,88,23,00,00,000",688.23 B,510.8,-2.07%,1.22 M,1.21,6.51,78.51,28.45%,2.35%,
SUZLON,SUZLON ENERGY LTD,"6,78,86,00,00,000",678.86 B,49.71,-4.64%,93.21 M,2.09,59.3,0.84,56.78%,0.00%,Strong buy
OFSS,ORACLE FIN SERV SOFT LTD.,"6,74,15,00,00,000",674.15 B,"7,763.90",-3.94%,240.08 K,2.34,29.51,263.1,6.93%,3.09%,Buy
